[2023-06-07 12:18:07] HotelChannelModel.INFO: Query : call SP_AddandEdithotelChannelInfo('GETCHANNELLIST',0,'' ,0 ,0,0,0,1,1)  
[2023-06-07 12:19:04] HotelChannelModel.INFO: Query : call SP_AddandEdithotelChannelInfo('GETCHANNELLIST',0,'' ,0 ,0,0,0,1,1)  
[2023-06-07 12:19:37] HotelChannelModel.INFO: Query : call SP_AddandEdithotelChannelInfo('GETCHANNELLIST',0,'' ,0 ,0,0,0,1,1)  
[2023-06-07 12:20:40] HotelChannelModel.INFO: Query : call SP_AddandEdithotelChannelInfo('GETCHANNELLIST',0,'' ,0 ,0,0,0,1,1)  
[2023-06-07 12:20:47] HotelChannelModel.INFO: Query : call SP_AddandEdithotelChannelInfo('GETCHANNELLIST',0,'' ,0 ,0,0,0,1,1)  
[2023-06-07 12:21:45] HotelChannelModel.INFO: Query : call SP_AddandEdithotelChannelInfo('GETCHANNELLIST',0,'' ,0 ,0,0,0,1,1)  
[2023-06-07 12:22:18] HotelChannelModel.INFO: Query : call SP_AddandEdithotelChannelInfo('GETCHANNELLIST',0,'' ,0 ,0,0,0,1,1)  
[2023-06-07 12:33:35] HotelChannelModel.INFO: Query : call SP_AddandEdithotelChannelInfo('GETCHANNELLIST',0,'' ,0 ,0,0,0,1,1)  
[2023-06-07 12:34:25] HotelChannelModel.INFO: Query : call SP_AddandEdithotelChannelInfo('GETCHANNELLIST',0,'' ,0 ,0,0,0,1,1)  
[2023-06-07 12:35:07] HotelChannelModel.INFO: Query : call SP_AddandEdithotelChannelInfo('GETCHANNELLIST',0,'' ,0 ,0,0,0,1,1)  
[2023-06-07 12:36:17] HotelChannelModel.INFO: Query : call SP_AddandEdithotelChannelInfo('GETCHANNELLIST',0,'' ,0 ,0,0,0,1,1)  
[2023-06-07 12:37:27] HotelChannelModel.INFO: Query : call SP_AddandEdithotelChannelInfo('GETCHANNELLIST',0,'' ,0 ,0,0,0,1,1)  
[2023-06-07 12:39:49] HotelChannelModel.INFO: Query : call SP_AddandEdithotelChannelInfo('GETCHANNELLIST',0,'' ,0 ,0,0,0,1,1)  
[2023-06-07 12:40:01] HotelChannelModel.INFO: Query : call SP_AddandEdithotelChannelInfo('GETCHANNELLIST',0,'' ,0 ,0,0,0,1,1)  
[2023-06-07 12:40:37] HotelChannelModel.INFO: Query : call SP_AddandEdithotelChannelInfo('GETCHANNELLIST',0,'' ,0 ,0,0,0,1,1)  
